"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"SP2",0.258096700479134,0.542529798966343,0.203508959461977,0.17264903500185,1.03378850454699,685,"ATF2",58,49
"SPI1",0.235780765253361,0.526683907370401,0.0840745577910723,-0.206898336531503,-1.07220177222176,943,"ATF2",46,49
"SPI1",0.918495297805643,0.965357302795726,0.0169971052149879,-0.165699734735418,-0.852033977173451,776,"ATF2",94,49
"SRF",0.611386138613861,0.810776403084095,0.0462302524077616,-0.198299843550334,-0.93403964786799,217,"ATF2",79,49
"STAT3",0.57037037037037,0.810776403084095,0.107140237276725,0.197904936327258,0.964673440933433,101,"ATF2",71,49
"STAT3",0.774725274725275,0.876886849414322,0.0295645497308931,-0.180318163117627,-0.901840154496283,477,"ATF2",85,49
"STAT5A",0.965161290322581,0.976835716148612,0.0265350909115755,-0.162646536230123,-0.735533549511333,157,"ATF2",102,49
"SUZ12",0.854054054054054,0.939181286549708,0.105520936843198,0.161628284235221,0.883514499209006,228,"ATF2",88,49
"TAF1",0.051,0.276473684210526,0.197822021315103,-0.21074071477887,-1.11410186801917,2615,"ATF2",37,49
"TAF7",0.0869086908690869,0.31969982712557,0.156312403073186,-0.239292617684909,-1.19298297049474,441,"ATF2",20,49
"TCF3",0.161937350499844,0.472010716300056,0.249246554383295,0.185564560911018,1.0859070029696,470,"ATF2",41,49
"TCF3",0.369379014989293,0.678218679604921,0.0629394692018967,-0.204104122459371,-1.03400862089918,624,"ATF2",57,49
"TCF7L2",0.556603773584906,0.810776403084095,0.183023938384487,0.167505479311666,0.963595051452647,386,"ATF2",72,49
"TP53",0.0385761410201075,0.248333907816942,0.321775918075361,0.261050448130549,1.32470437801913,140,"ATF2",8,49
"TP63",0.49730312837109,0.776094276094276,0.0493910105981501,-0.197466626467773,-0.99359964004028,521,"ATF2",66,49
"TRIM28",0.545454545454545,0.810776403084095,0.0571258510018113,-0.235046053545275,-0.959418926523479,85,"ATF2",73,49
"TRIM28",0.993252361673414,0.993252361673414,0.0273777349570556,-0.148875354775946,-0.638571540077745,107,"ATF2",103,49
"UBTF",0.352226720647773,0.671839856050382,0.0625237414724762,-0.197752643378313,-1.03449758199422,1222,"ATF2",55,49
"USF1",0.410071942446043,0.703956834532374,0.0560595875032335,-0.195621201368924,-1.01678118424786,993,"ATF2",60,49
"USF2",0.0698644421272158,0.30744395711501,0.170932335370056,-0.22593550941223,-1.16224907093643,765,"ATF2",23,49
"VDR",0.136431784107946,0.425832538276316,0.144630528034484,-0.349144186012722,-1.2643588448924,43,"ATF2",10,49
"YY1",0.0152308088102179,0.156877330745244,0.380730400722792,-0.219663968073831,-1.15809521759009,2111,"ATF2",25,49
"YY1",0.755369928400955,0.876886849414322,0.0347904098478036,-0.183280383087016,-0.882470167184268,262,"ATF2",89,49
"ZBTB33",0.228941684665227,0.526683907370401,0.0880945010398517,-0.215391941189528,-1.08325220184323,518,"ATF2",42,49
"ZBTB7A",0.198380566801619,0.526683907370401,0.0925528864684773,-0.205096947348028,-1.07512353175043,1414,"ATF2",43,49
"ZC3H11A",0.632947976878613,0.825235969854394,0.0517405459873163,-0.227930046516015,-0.914099651494087,77,"ATF2",83,49
"ZEB1",0.436746987951807,0.737458028836658,0.11101149245045,0.237869785796177,1.01549704774312,55,"ATF2",61,49
"ZKSCAN1",0.613986013986014,0.810776403084095,0.05163559644842,-0.22589271724759,-0.922056529017232,85,"ATF2",81,49
"ZMIZ1",0.0826271186440678,0.31969982712557,0.157402899305283,-0.226882252357509,-1.15850888736804,700,"ATF2",24,49
"ZNF384",0.0964630225080386,0.342610045459585,0.14551614609036,-0.228746606365535,-1.15707203553267,588,"ATF2",26,49
"AR",0.197869101978691,0.536329407994873,0.118287526124085,-0.211330647956275,-1.10993214511783,431,"ATF3",33,58
"ATF2",0.0131997472287744,0.104582612658751,0.380730400722792,0.182882708863474,1.12707036869152,2025,"ATF3",29,58
"ATF3",0.40034965034965,0.712763201717056,0.0838361057159929,-0.240012559125171,-1.01467613124082,85,"ATF3",58,58
"BCL3",0.057660626029654,0.247460186710599,0.241339976815091,-0.273620235209246,-1.28893653554181,160,"ATF3",13,58
"BCLAF1",0.056503004627865,0.247460186710599,0.321775918075361,0.20067563513179,1.15709758659087,605,"ATF3",25,58
"BHLHE40",0.747967479674797,0.87520475020475,0.0739901439101341,0.172509837584619,0.918130360953802,268,"ATF3",84,58
"BRCA1",0.0109578032560945,0.0940544779481445,0.380730400722792,0.184154752017719,1.14138894577907,2347,"ATF3",28,58
"CBX3",0.747126436781609,0.87520475020475,0.0658311958368866,0.211320241122344,0.842745568668642,53,"ATF3",98,58
"CEBPB",0.811224489795918,0.87520475020475,0.0478299633114229,-0.188952257209977,-0.842744083437343,113,"ATF3",99,58
"CEBPD",0.409158050221566,0.712763201717056,0.0738052724171275,-0.189138398044546,-1.01676926982279,541,"ATF3",56,58
"CHD1",0.0776119402985075,0.307462686567164,0.195789002148949,-0.219720056024631,-1.17633712578663,526,"ATF3",21,58
"CREB1",0.0846547490738923,0.322942190911515,0.287805130535564,0.177351941659005,1.08209096266814,1625,"ATF3",40,58
